rep,listeners,server,p2p,total,server_share,p2p_offload
1,3,311,130,441,70.52,29.48
2,3,311,130,441,70.52,29.48
3,3,311,130,441,70.52,29.48
4,3,181,260,441,41.04,58.96
5,3,311,130,441,70.52,29.48
6,3,181,260,441,41.04,58.96
7,3,311,130,441,70.52,29.48
8,3,181,260,441,41.04,58.96
9,3,311,130,441,70.52,29.48
10,3,181,260,441,41.04,58.96
