rep,listeners,server,p2p,total,server_share,p2p_offload
1,1,147,0,147,100.00,0.00
2,1,147,0,147,100.00,0.00
3,1,147,0,147,100.00,0.00
4,1,147,0,147,100.00,0.00
5,1,147,0,147,100.00,0.00
6,1,147,0,147,100.00,0.00
7,1,147,0,147,100.00,0.00
8,1,147,0,147,100.00,0.00
9,1,147,0,147,100.00,0.00
10,1,147,0,147,100.00,0.00
