rep,listeners,server,p2p,total,server_share,p2p_offload
1,2,164,130,294,55.78,44.22
2,2,164,130,294,55.78,44.22
3,2,164,130,294,55.78,44.22
4,2,34,260,294,11.56,88.44
5,2,164,130,294,55.78,44.22
6,2,164,130,294,55.78,44.22
7,2,164,130,294,55.78,44.22
8,2,164,130,294,55.78,44.22
9,2,164,130,294,55.78,44.22
10,2,164,130,294,55.78,44.22
