rep,listeners,server,p2p,total,server_share,p2p_offload
1,5,85,650,735,11.56,88.44
2,5,605,130,735,82.31,17.69
3,5,475,260,735,64.63,35.37
4,5,475,260,735,64.63,35.37
5,5,215,520,735,29.25,70.75
6,5,215,520,735,29.25,70.75
7,5,475,260,735,64.63,35.37
8,5,345,390,735,46.94,53.06
9,5,475,260,735,64.63,35.37
10,5,345,390,735,46.94,53.06
