rep,listeners,server,p2p,total,server_share,p2p_offload
1,1,17,130,147,11.56,88.44
2,1,17,130,147,11.56,88.44
3,1,17,130,147,11.56,88.44
4,1,17,130,147,11.56,88.44
5,1,17,130,147,11.56,88.44
6,1,17,130,147,11.56,88.44
7,1,17,130,147,11.56,88.44
8,1,17,130,147,11.56,88.44
9,1,17,130,147,11.56,88.44
10,1,17,130,147,11.56,88.44
