rep,listeners,server,p2p,total,server_share,p2p_offload
1,5,85,650,735,11.56,88.44
2,5,85,650,735,11.56,88.44
3,5,85,650,735,11.56,88.44
4,5,85,650,735,11.56,88.44
5,5,85,650,735,11.56,88.44
6,5,85,650,735,11.56,88.44
7,5,85,650,735,11.56,88.44
8,5,85,650,735,11.56,88.44
9,5,85,650,735,11.56,88.44
10,5,85,650,735,11.56,88.44
