rep,listeners,server,p2p,total,server_share,p2p_offload
1,3,51,390,441,11.56,88.44
2,3,51,390,441,11.56,88.44
3,3,51,390,441,11.56,88.44
4,3,51,390,441,11.56,88.44
5,3,51,390,441,11.56,88.44
6,3,51,390,441,11.56,88.44
7,3,51,390,441,11.56,88.44
8,3,51,390,441,11.56,88.44
9,3,51,390,441,11.56,88.44
10,3,51,390,441,11.56,88.44
