rep,listeners,server,p2p,total,server_share,p2p_offload
1,2,34,260,294,11.56,88.44
2,2,34,260,294,11.56,88.44
3,2,34,260,294,11.56,88.44
4,2,34,260,294,11.56,88.44
5,2,34,260,294,11.56,88.44
6,2,34,260,294,11.56,88.44
7,2,34,260,294,11.56,88.44
8,2,34,260,294,11.56,88.44
9,2,34,260,294,11.56,88.44
10,2,34,260,294,11.56,88.44
